Locus tag,Protein ID,Gene,Protein name
PMN2A_2125,ABU24047.1,None,Conserved hypothetical protein
PMN2A_0684,AAZ58175.1,None,membrane protein
PMN2A_0685,AAZ58176.1,None,conserved hypothetical protein
PMN2A_2126,ABU24048.1,None,Hypothetical protein
PMN2A_0694,AAZ58185.1,None,cytochrome b6-f complex subunit 5
PMN2A_2127,ABU24049.1,None,Hypothetical protein
PMN2A_2128,ABU24050.1,None,Conserved hypothetical protein
PMN2A_0710,AAZ58201.1,None,possible Borrelia lipoprotein
PMN2A_0711,AAZ58202.1,None,conserved hypothetical protein
PMN2A_2129,ABU24051.1,None,Conserved hypothetical protein
PMN2A_0713,AAZ58204.1,None,conserved hypothetical protein
PMN2A_0714,AAZ58205.1,None,MIF/phenylpyruvate tautomerase family protein
PMN2A_2130,ABU24052.1,None,Conserved hypothetical protein
PMN2A_0720,AAZ58211.1,None,hypothetical protein
PMN2A_2131,ABU24053.1,None,Conserved hypothetical protein
PMN2A_0721,AAZ58212.1,None,protein family PM-20
PMN2A_0725,AAZ58216.1,None,hypothetical protein
PMN2A_0730,AAZ58221.1,None,protein family PM-12
PMN2A_0737,AAZ58228.1,None,hypothetical protein
PMN2A_0739,AAZ58230.1,None,hypothetical protein
PMN2A_0740,AAZ58231.1,None,hypothetical protein
PMN2A_0742,AAZ58233.1,None,protein family PM-12
PMN2A_2132,ABU24054.1,None,Conserved hypothetical protein
PMN2A_0743,AAZ58234.1,None,hypothetical protein
PMN2A_0744,AAZ58235.1,None,hypothetical protein
PMN2A_0757,AAZ58248.1,None,conserved hypothetical protein
PMN2A_0770,AAZ58261.1,None,conserved hypothetical protein
PMN2A_0773,AAZ58264.1,None,hypothetical protein
PMN2A_0775,AAZ58266.1,None,"prolyl 4-hydroxylase, alpha subunit"
PMN2A_0776,AAZ58267.1,None,possible peptidase family M20/M25/M40
PMN2A_2133,ABU24055.1,None,Conserved hypothetical protein
PMN2A_2134,ABU24056.1,None,Hypothetical protein
PMN2A_0780,AAZ58271.1,None,hypothetical protein
PMN2A_0781,AAZ58272.1,None,hypothetical protein
PMN2A_2135,ABU24057.1,None,Conserved hypothetical protein
PMN2A_2136,ABU24058.1,None,Conserved hypothetical protein
PMN2A_0783,AAZ58274.1,None,hypothetical protein
PMN2A_0785,AAZ58276.1,None,hypothetical protein
PMN2A_2137,ABU24059.1,None,Conserved hypothetical protein
PMN2A_2138,ABU24060.1,None,Conserved hypothetical protein
PMN2A_2139,ABU24061.1,None,Conserved hypothetical protein
PMN2A_0789,AAZ58280.1,None,hypothetical protein
PMN2A_2140,ABU24062.1,None,Conserved hypothetical protein
PMN2A_0791,AAZ58282.1,None,conserved hypothetical protein
PMN2A_0793,AAZ58284.1,None,hypothetical protein
PMN2A_2141,ABU24063.1,None,Conserved hypothetical protein
PMN2A_0794,AAZ58285.1,None,"flavodoxin, long chain"
PMN2A_0795,AAZ58286.1,None,"possible helix-turn-helix protein, CopG family"
PMN2A_0818,AAZ58309.1,None,conserved hypothetical protein
PMN2A_0820,AAZ58311.1,None,possible ATP synthase protein 8
PMN2A_0822,AAZ58313.1,None,hypothetical protein
PMN2A_0823,AAZ58314.1,None,conserved hypothetical protein
PMN2A_0824,AAZ58315.1,None,putative Uncharacterized conserved protein
PMN2A_2143,ABU24064.1,None,Hypothetical protein
PMN2A_2144,ABU24065.1,None,Hypothetical protein
PMN2A_2145,ABU24066.1,None,Hypothetical protein
PMN2A_2146,ABU24067.1,None,Conserved hypothetical protein
PMN2A_2147,ABU24068.1,None,Conserved hypothetical protein
PMN2A_0844,AAZ58335.1,None,conserved hypothetical protein
PMN2A_0857,AAZ58348.1,None,"Protein of unknown function UPF0031:YjeF-related protein, N-terminal protein"
PMN2A_2149,ABU24070.1,None,Conserved hypothetical protein
PMN2A_2150,ABU24071.1,None,Conserved hypothetical protein
PMN2A_0888,AAZ58379.1,None,conserved hypothetical protein
PMN2A_0889,AAZ58380.1,None,hypothetical protein
PMN2A_0890,AAZ58381.1,None,conserved hypothetical protein
PMN2A_0891,AAZ58382.1,None,hypothetical protein
PMN2A_2151,ABU24072.1,None,Conserved hypothetical protein
PMN2A_2152,ABU24073.1,None,Hypothetical protein
PMN2A_0922,AAZ58413.1,None,conserved hypothetical protein
PMN2A_2153,ABU24074.1,None,Conserved hypothetical protein
PMN2A_0931,AAZ58422.1,None,hypothetical protein
PMN2A_0932,AAZ58423.1,None,hypothetical protein
PMN2A_0937,AAZ58428.1,None,redox protein
PMN2A_2154,ABU24075.1,None,Conserved hypothetical protein
PMN2A_0939,AAZ58430.1,None,hypothetical protein
PMN2A_0940,AAZ58431.1,None,possible high light inducible protein
PMN2A_2155,ABU24076.1,None,Hypothetical protein
PMN2A_0941,AAZ58432.1,None,high light inducible protein hli11
PMN2A_2156,ABU24077.1,None,Hypothetical protein
PMN2A_0942,AAZ58433.1,None,hypothetical protein
PMN2A_0945,AAZ58436.1,None,hypothetical protein
PMN2A_2157,ABU24078.1,None,Conserved hypothetical protein
PMN2A_2158,ABU24079.1,None,Conserved hypothetical protein
PMN2A_0947,AAZ58438.1,None,membrane protein
PMN2A_2159,ABU24080.1,None,Conserved hypothetical protein
PMN2A_0948,AAZ58439.1,None,conserved hypothetical protein
PMN2A_2160,ABU24081.1,None,Conserved hypothetical protein
PMN2A_0951,AAZ58442.1,None,conserved hypothetical protein
PMN2A_0952,AAZ58443.1,None,hypothetical protein
PMN2A_2162,ABU24082.1,None,Hypothetical protein
PMN2A_0953,AAZ58444.1,None,conserved hypothetical protein
PMN2A_0954,AAZ58445.1,None,hypothetical protein
PMN2A_2163,ABU24083.1,None,Hypothetical protein
PMN2A_0956,AAZ58447.1,None,hypothetical protein
PMN2A_0957,AAZ58448.1,None,hypothetical protein
PMN2A_2164,ABU24084.1,None,Conserved hypothetical protein
PMN2A_0958,AAZ58449.1,None,hypothetical protein
PMN2A_2165,ABU24085.1,None,Conserved hypothetical protein
PMN2A_0959,AAZ58450.1,None,enzyme of the cupin superfamily
PMN2A_0979,AAZ58469.1,None,conserved hypothetical protein
PMN2A_1026,AAZ58516.1,None,uncharacterized membrane protein
PMN2A_1031,AAZ58521.1,None,protein family PM-12
PMN2A_1036,AAZ58526.1,None,conserved hypothetical protein
PMN2A_2168,ABU24088.1,None,Conserved hypothetical protein
PMN2A_2170,ABU24089.1,None,Conserved hypothetical protein
PMN2A_2172,ABU24091.1,None,Conserved hypothetical protein
PMN2A_2173,ABU24092.1,None,Hypothetical protein
PMN2A_1058,AAZ58548.1,None,hypothetical protein
PMN2A_2174,ABU24093.1,None,Hypothetical protein
PMN2A_1064,AAZ58554.1,None,metal-dependent membrane protease
PMN2A_2175,ABU24094.1,None,Conserved hypothetical protein
PMN2A_1090,AAZ58580.1,None,conserved hypothetical protein
PMN2A_1091,AAZ58581.1,None,hypothetical protein
PMN2A_2176,ABU24095.1,None,Conserved hypothetical protein
PMN2A_2177,ABU24096.1,None,Conserved hypothetical protein
PMN2A_1095,AAZ58585.1,None,hypothetical protein
PMN2A_2178,ABU24097.1,None,Hypothetical protein
PMN2A_2179,ABU24098.1,None,Hypothetical protein
PMN2A_1096,AAZ58586.1,None,hypothetical protein
PMN2A_1097,AAZ58587.1,None,hypothetical protein
PMN2A_2180,ABU24099.1,None,Conserved hypothetical protein
PMN2A_1160,AAZ58650.1,None,protein family PM-8
PMN2A_1171,AAZ58661.1,None,conserved hypothetical protein
PMN2A_1172,AAZ58662.1,None,(S)-2-hydroxy-acid oxidase
PMN2A_1218,AAZ58708.1,None,putative ABC-type polysaccharide/polyol phosphate export systems permease component
PMN2A_2181,ABU24100.1,None,Conserved hypothetical protein
PMN2A_1226,AAZ58716.1,None,hypothetical protein
PMN2A_1227,AAZ58717.1,None,hypothetical protein
PMN2A_2182,ABU24101.1,None,Hypothetical protein
PMN2A_1234,AAZ58724.1,None,dTDP-4-dehydrorhamnose reductase
PMN2A_2183,ABU24102.1,None,Hypothetical protein
PMN2A_1238,AAZ58728.1,None,hypothetical protein
PMN2A_1242,AAZ58732.1,None,membrane protein
PMN2A_2184,ABU24103.1,None,Conserved hypothetical protein
PMN2A_1270,AAZ58760.1,None,conserved hypothetical protein
PMN2A_2186,ABU24105.1,None,Conserved hypothetical protein
PMN2A_1299,AAZ58789.1,None,formate and nitrite transporter
PMN2A_1310,AAZ58799.1,None,conserved hypothetical protein
PMN2A_1318,AAZ58807.1,None,hypothetical protein
